Image,Brightness,Contrast,Sharpness,Noise,Potential_Issues
S5467R00.jpg,86.21325,34.78399,76.70770493871899,2.5535276,0
S5897L01.jpg,93.060585,28.572266,114.4245146457248,2.8634331,0
S5566L08.jpg,108.26273,27.805702,75.06289933919903,2.6553016,1
S5944R04.jpg,93.66797,29.961779,56.83896542544896,2.3770149,0
S5304L02.jpg,88.254074,26.29882,48.551308369912036,2.2275143,1
S5401L03.jpg,90.58011,26.84007,88.4318460122744,2.7714868,0
S5446R02.jpg,88.55753,29.279835,58.32896076574325,2.3933833,0
S5849L02.jpg,91.33601,32.109642,83.23117588801912,2.8490236,0
S5011R01.jpg,88.803696,33.37163,86.69356416463849,2.7256117,0
S5594R05.jpg,89.02285,43.656315,197.30775782215332,4.278921,0
S5823L05.jpg,89.21064,26.928946,105.06210286390518,3.199104,0
S5606R09.jpg,89.21496,34.611862,182.20614871469073,4.316777,1
S5177L01.jpg,91.51027,27.651066,86.8189488688151,2.6027741,0
S5185R06.jpg,82.27373,36.84235,192.21909382714165,4.409659,2
S5371L06.jpg,90.22286,36.853012,183.65611093596354,4.327214,1
S5737R02.jpg,89.240845,28.50339,47.51828786515129,2.1728027,1
S5030R03.jpg,84.22783,33.368378,95.97628786621094,2.753166,1
S5160R06.jpg,86.65296,42.791862,120.92791246096293,2.9917564,0
S5595R04.jpg,92.94223,33.334007,87.97044784545898,3.1310287,0
S5983L02.jpg,92.6711,30.601635,78.36530605052313,2.6976235,0
S5503L03.jpg,89.56409,29.631958,86.37685920138891,2.708508,0
S5627R09.jpg,86.16271,30.468008,100.44059342748852,3.4318216,0
S5048L04.jpg,92.007225,36.310425,774.806779708004,8.28532,1
S5122R03.jpg,89.94243,40.687283,66.2420963218583,2.4830782,0
S5544R09.jpg,89.862724,31.50665,107.98595043500264,3.437259,0
S5178L01.jpg,85.069466,24.552574,152.31810855838984,3.529185,1
S5196L00.jpg,94.50702,27.98949,46.103249054707426,2.1554348,2
S5493L00.jpg,89.37875,29.348375,85.99135109960768,2.8533692,0
S5047R05.jpg,91.05495,35.97315,50.986102644856764,2.1999676,0
S5817L09.jpg,88.276146,35.667343,65.48442875153222,2.5274272,0
S5802L01.jpg,86.24685,22.504631,86.84226218223573,2.865202,1
S5105L00.jpg,88.91189,36.23268,39.04981674194335,2.0112627,1
S5166R05.jpg,87.2004,34.606453,103.64885551448396,2.8083444,0
S5368R00.jpg,90.63156,27.931538,78.03655756800968,2.4997344,0
S5427L03.jpg,90.0838,24.95947,48.970641903305044,2.2762005,2
S5392R07.jpg,87.13727,38.778416,86.26196177562078,3.0845456,0
S5308R05.jpg,91.64932,32.546032,48.157072264946834,2.1834848,1
S5828R04.jpg,86.27492,28.044188,42.22191327454249,2.0338194,1
S5063R09.jpg,87.99384,44.743416,76.50804281802708,2.7000191,0
S5129L07.jpg,89.463715,32.50146,193.80826580806303,3.724976,0
S5227L00.jpg,91.27287,31.98945,98.30556698734496,3.1279767,0
S5479L06.jpg,81.41913,41.074856,94.42260244978799,3.245454,1
S5674R07.jpg,92.83466,32.655304,69.26227993736266,2.782471,0
S5951R01.jpg,92.41074,26.58545,65.75650237613254,2.324802,0
S5175L07.jpg,77.351715,43.82973,232.16438404378897,4.139875,1
S5013R00.jpg,86.81987,28.423304,53.648041071531495,2.273301,0
S5343R07.jpg,86.319466,32.20933,116.06719075138298,3.6406856,0
S5816L09.jpg,87.13365,39.633457,218.37350338473846,5.014261,1
S5200L03.jpg,90.359085,26.81316,41.82336316425536,2.0444825,1
S5797R08.jpg,92.19789,33.573124,55.957327219634585,2.4023485,0
S5251R06.jpg,79.38492,40.97384,128.6587693352593,3.5379295,1
S5215R08.jpg,88.92973,33.627457,49.62879098229939,2.1591666,1
S5308L09.jpg,90.37729,36.384354,589.7938738599988,7.1597276,1
S5329R09.jpg,91.315025,35.391846,133.2866176856889,3.791844,0
S5951L00.jpg,94.59289,26.038748,141.14544850243465,3.3146374,1
S5112L04.jpg,90.28682,33.15719,76.90543088191353,2.722731,0
S5506L04.jpg,90.71464,29.012484,180.9607409769271,3.6334195,0
S5436L03.jpg,85.99587,29.927895,68.93937916865882,2.5335367,0
S5210L02.jpg,87.63079,24.001492,67.03489580102497,2.6227684,1
S5140R06.jpg,88.84869,32.116833,66.20248236338297,2.3711739,0
S5622R04.jpg,91.15544,34.875416,531.640127969318,6.4742556,1
S5475R08.jpg,88.2105,36.045948,61.257657182810085,2.4093661,0
S5147R09.jpg,92.69974,33.912136,51.6032047288259,2.2341828,0
S5103L08.jpg,87.10754,43.005207,64.19971027195187,2.6594791,0
S5645L05.jpg,93.53189,36.055424,57.11794470469158,2.40901,0
S5262R03.jpg,94.09126,28.829102,58.004945615598906,2.3118622,0
S5774R09.jpg,90.65024,31.264294,58.64057205911213,2.4138825,0
S5848L04.jpg,94.24536,27.380198,94.03189105554156,3.1207478,0
S5393L01.jpg,89.25084,44.7137,181.2551156020164,3.7441661,0
S5075R04.jpg,86.04149,30.553135,90.37154256117078,3.0218427,0
S5725L03.jpg,87.67401,25.8477,150.14273284081352,3.5483017,0
S5929R09.jpg,88.79148,32.961887,54.13724411213133,2.1982856,0
S5689L09.jpg,84.87049,42.063255,85.3138179758284,2.9343302,0
S5462L02.jpg,94.34904,29.409918,67.27033453105288,2.5049021,0
S5192L03.jpg,88.265015,30.572626,63.14819644465976,2.3321347,0
S5119R07.jpg,88.58531,31.09107,53.613015187316456,2.2428455,0
S5271L08.jpg,91.79167,30.228071,138.23048057673776,3.6055171,0
S5950L00.jpg,89.05594,26.550018,78.12386197085911,2.7390418,0
S5860L03.jpg,86.800255,35.85393,180.78121414930553,3.935792,0
S5614R03.jpg,84.68276,26.011343,50.867148129940034,2.147709,0
S5424R08.jpg,86.17217,36.74379,178.16120901451112,4.493851,1
S5569L00.jpg,94.55773,28.269154,68.67762825646932,2.490118,1
S5417L00.jpg,95.529205,24.073195,99.15249629947874,2.9123087,2
S5058R00.jpg,92.988815,35.673454,101.46189839409722,2.771863,0
S5371L02.jpg,88.34053,30.63801,92.01736284933091,3.154481,0
S5362R01.jpg,84.267006,27.647562,87.8079105791622,2.7191975,0
S5680L04.jpg,85.71088,25.850143,86.53765214613809,2.8669953,0
S5759L07.jpg,86.1606,30.693449,75.24120147298176,2.8126388,0
S5690R05.jpg,86.830536,42.88037,110.90565326601667,3.637843,0
S5467L08.jpg,87.61233,34.99061,259.95897175512323,5.7099237,1
S5621L07.jpg,85.51878,26.725456,337.66010641780434,4.96297,1
S5180R07.jpg,89.61848,32.333305,46.14396962059868,2.1522634,1
S5123L04.jpg,90.61849,31.710913,75.27926796807184,2.4475632,0
S5932L06.jpg,90.602615,32.92512,112.41231982404919,3.5636978,0
S5343L04.jpg,89.30824,27.08009,78.01740437719559,2.8531811,0
S5366R03.jpg,91.36319,29.78095,56.12995003238254,2.3948474,0
S5227R05.jpg,88.43297,32.932346,68.91006420067683,2.4648442,0
S5299L01.jpg,94.00376,30.13952,49.812358280934234,2.2610207,0
S5068L01.jpg,93.98914,27.591877,52.68313285165363,2.4522727,0
S5894R09.jpg,89.92595,31.47362,118.68317981057699,2.976218,0
